Product Name,Shade Code,R,G,B
Double Defence Exterior Emulsion,3-45-3,221,189,206
Double Defence Exterior Emulsion,3-45-4,184,146,172
Double Defence Exterior Emulsion,3-45-5,161,108,141
Double Defence Exterior Emulsion,3-45-6,135,82,118
Double Defence Exterior Emulsion,3-4-6,172,98,81
Double Defence Exterior Emulsion,3-4-7,154,80,58
Double Defence Exterior Emulsion,3-47-1,232,220,224
Double Defence Exterior Emulsion,3-47-2,233,209,216
Double Defence Exterior Emulsion,3-47-3,224,188,201
Double Defence Exterior Emulsion,3-47-4,196,154,172
Double Defence Exterior Emulsion,3-47-5,169,102,128
Double Defence Exterior Emulsion,3-47-6,151,82,112
Double Defence Exterior Emulsion,3-48-1,242,224,227
Double Defence Exterior Emulsion,3-48-2,232,207,214
